feature
score_hCE1
score_hCE2
covdock_hCE1
covscore_hCE1
covdock_hCE2
distance_hCE1
distance_hCE2
GSEI_CE1
GSEI_CE2
TSEI_carbonyl
TSEI_acyl
ratio_MW
nrot_alc
nrot_acyl
vol_acyl
vol_alc
ratio_vol
ratio_TPSA
logP_acyl
logP_alc
ratio_logP
eccentricity
E_LUMO
bond_carbonyl
bond_alc
hardness
charge_carbon
delta_charge
